uid,csv_hash,tbl_hash,id_num_row,transaction_uid,account_uid,transaction_date,type_deal,transaction_amount
34c6baf2-5f02-4220-ad6c-49a3367405e5,36780cf6ec6e0dd7f0d4a2438904cced,7d5ae08dc7551cef3503d8886fb7e685,2,34c6baf2-5f02-4220-ad6c-49a3367405e5,b8327f38-160d-4004-8f74-be8da19aaa15,2015-07-16 22:09:47,deal,-675.0
c7885cb9-c0c2-4e7b-8a41-e01a4d667814,1ad9c4fae2989f99045e7f49c94397e8,fcfb3d103b2784c084cf423e23377292,3,c7885cb9-c0c2-4e7b-8a41-e01a4d667814,12f91c28-23e4-496d-a773-e71cf8a8d8d3,2015-03-07 08:10:55,commision,147.0
8daa0590-7e65-4d27-8725-726153686bdc,2d45b5053f367fd3c3e38fe963fbaaaa,ef09943cdbd5fc49337b4d25867e9850,4,8daa0590-7e65-4d27-8725-726153686bdc,c26ca746-9ab4-493d-ad7f-5f952ebe569a,2015-07-06 19:17:54,commision,-112.0
6b566688-8b59-47e1-9a98-5031c7f6707d,fcb297dd2d980bb6039ece9af9865414,e89985bbb08487a4ace9feb487db8126,5,6b566688-8b59-47e1-9a98-5031c7f6707d,12f91c28-23e4-496d-a773-e71cf8a8d8d3,2015-08-24 03:53:30,deal,-826.0
9236d450-074e-40da-9109-ee2bd1e26760,a39f064e955ce739b165228d290d277d,13fe3ee4662e5fbeedf15ddc383bf77a,6,9236d450-074e-40da-9109-ee2bd1e26760,a2c0a886-d116-495a-9a17-f1dd1a423190,2015-08-11 11:48:05,deal,-457.0
046d5e36-596b-40e5-800b-27a905d50ddd,b3541827d679883dd0f94b4d6c2ebfe8,f820c63169a24deb89459111a9d0e57c,7,046d5e36-596b-40e5-800b-27a905d50ddd,fcdbe47f-44a7-40fc-9389-0b973a529245,2015-02-01 10:03:13,commision,-639.0
0767bd6a-1948-43e7-ac4a-0663bce83cf9,9b6d4ce25893bd1397abb4f122b523cb,2cb6b9a122a344e17cf4577f30e1d798,8,0767bd6a-1948-43e7-ac4a-0663bce83cf9,d481f7dd-8923-44d5-bc2e-e518435389d2,2015-04-20 05:55:22,deal,671.0
94d87f45-2561-47c4-b366-105d8a193397,58640ba89faa54910e84904d971ec779,06a508b13030b09ca8bbd1942ff41fb7,9,94d87f45-2561-47c4-b366-105d8a193397,12f91c28-23e4-496d-a773-e71cf8a8d8d3,2015-12-23 05:56:15,deal,830.0
8a45e5e1-e884-4095-b35c-ba245ee231d1,d2b4d77373c60951d7ec2edebf5c7f6b,845bfdaec41785d53ec45188cc5c572d,10,8a45e5e1-e884-4095-b35c-ba245ee231d1,b8327f38-160d-4004-8f74-be8da19aaa15,2015-12-26 01:24:08,commision,619.0
a8816051-46cc-478a-a73f-13ad2f221a2b,3e7f94217640cc89f076b74befda68a9,89dc7e99b4636421b15aea88d9ac5185,11,a8816051-46cc-478a-a73f-13ad2f221a2b,12f91c28-23e4-496d-a773-e71cf8a8d8d3,2015-09-20 23:49:40,commision,-68.0
ec47f564-882b-4508-98a5-e973213073d8,a9956709195857f0970b908a7e41f090,0ecac16fbbe838580b94512d7c7130a5,12,ec47f564-882b-4508-98a5-e973213073d8,12f91c28-23e4-496d-a773-e71cf8a8d8d3,2015-09-29 22:43:33,deal,805.0
040c70af-2215-425a-b6ca-4dbd7f56dee4,30b8dc7be754dcaff10304d51c76a635,4af717c1d3db3b957173b0b3dedc6409,13,040c70af-2215-425a-b6ca-4dbd7f56dee4,186ef4a6-bdb6-4662-aeeb-ecb815d251dc,2015-11-07 02:32:55,deal,-879.0
1cde78a2-a7e9-449e-ab9c-b122d5fe8659,d01c7b88a32d0394e43cc8e2b5706f35,ce7cc2bf497c1a322bd173c518679ec5,14,1cde78a2-a7e9-449e-ab9c-b122d5fe8659,0ee4dc12-2ff3-48ab-8291-872869f3ca41,2015-12-20 05:21:35,deal,495.0
6a54c1c4-bf28-40fa-a294-791a16c93224,09f8606bd826a4a9817fb8b9da2e5da3,dad9265cc11682b3895837dcb30d2e9f,15,6a54c1c4-bf28-40fa-a294-791a16c93224,186ef4a6-bdb6-4662-aeeb-ecb815d251dc,2015-01-27 08:04:37,commision,-402.0
5f6aa4dc-8032-48c9-b0e2-91fd432cc547,611b25a76c59c7783852e5f938cea77c,58826b188e9c417ef8832ca13cfc549e,16,5f6aa4dc-8032-48c9-b0e2-91fd432cc547,0ee4dc12-2ff3-48ab-8291-872869f3ca41,2015-09-03 21:17:24,commision,-803.0
88185560-0405-4180-af32-8929bf078628,ffd552f47923b4a3ee3ffb8ded986090,58b803a220ec96a160e971de2510bb3f,17,88185560-0405-4180-af32-8929bf078628,38a64f25-3221-4661-944e-86bf6584438d,2015-11-09 15:10:06,commision,-19.0
134803c6-c0e3-48be-bb90-022fda088135,d14442237d467d54b283ac8e46f7181e,2ff51b0a1ff253266fdb994912aeb676,18,134803c6-c0e3-48be-bb90-022fda088135,24bb05f1-4751-4a0c-8a3f-861f9294b834,2015-07-20 15:55:06,deal,-968.0
f394362b-9ae9-414b-aa3d-519ced2657cf,1656796d6ad699f882d887856da0652d,213a36f1e7b9a57157ae4e08cba9f1fa,19,f394362b-9ae9-414b-aa3d-519ced2657cf,12f91c28-23e4-496d-a773-e71cf8a8d8d3,2015-05-14 21:31:42,commision,-465.0
3142073a-fcf1-401c-865b-f713f7d724d9,95ecc17e55b815c8b81a71c5efb60cbc,acbd70beb061de7d8e7e4516debf76f8,20,3142073a-fcf1-401c-865b-f713f7d724d9,12f91c28-23e4-496d-a773-e71cf8a8d8d3,2015-02-16 20:22:52,deal,364.0
22f4de1b-64a9-475a-868c-1311bf1cdbee,57db663afb7ac560863b02715f4107a3,3c05ba243ef89e25b6f2d913adaf9150,21,22f4de1b-64a9-475a-868c-1311bf1cdbee,fcdbe47f-44a7-40fc-9389-0b973a529245,2015-04-30 10:21:08,commision,-793.0
f5cafd86-7459-419e-8212-f0f11c3bc7ff,f1c1a5364baff38910e04e773dade972,ab92663dd40d0aa0fafd56dbeecdc278,22,f5cafd86-7459-419e-8212-f0f11c3bc7ff,38a64f25-3221-4661-944e-86bf6584438d,2015-11-30 10:55:35,commision,857.0
073c0c6f-97a0-4bef-bf0f-d0f550dd04b6,af1701ac5c0dd97baef0c9a8f2a03c72,91fedfb33b4a147ca9feeb3a525c3391,23,073c0c6f-97a0-4bef-bf0f-d0f550dd04b6,c26ca746-9ab4-493d-ad7f-5f952ebe569a,2015-12-16 16:24:16,commision,-542.0
cb420d95-f3fa-4d2f-af74-3619c73ac0e1,3669542bf81f081cdd511d8c88332370,22cdab54640575dbe564e9bee11f5649,24,cb420d95-f3fa-4d2f-af74-3619c73ac0e1,24bb05f1-4751-4a0c-8a3f-861f9294b834,2015-06-04 08:58:21,commision,150.0
e02dd46d-2f55-4a39-be08-aaf070a95c1d,bd39428066458bed866e52041f9f5ce3,c40f65c5383f3285351289a0ad646849,25,e02dd46d-2f55-4a39-be08-aaf070a95c1d,d481f7dd-8923-44d5-bc2e-e518435389d2,2015-04-16 03:42:54,commision,511.0
6d72216a-3ae8-4949-bc0b-f0ae079fd479,c53507d9075ce47ab1c1f05930004217,6f22288a9956abea0d30c63f753fa332,26,6d72216a-3ae8-4949-bc0b-f0ae079fd479,186ef4a6-bdb6-4662-aeeb-ecb815d251dc,2015-02-06 02:23:01,commision,-966.0
eb04f780-9d0a-4103-bd07-1062a048376c,9e8cbb8a7858d4237106da085060a80c,d7380fb64a702265dff682b3d1459f70,27,eb04f780-9d0a-4103-bd07-1062a048376c,12f91c28-23e4-496d-a773-e71cf8a8d8d3,2015-01-05 10:05:08,deal,268.0
171b2b9c-7a44-493b-aeb4-20d53ef32a32,a41034d1089a16186a3322168eb1c77c,5f0bb7aa73b9bf1e35b9ebdbdb431215,28,171b2b9c-7a44-493b-aeb4-20d53ef32a32,38a64f25-3221-4661-944e-86bf6584438d,2015-02-24 08:28:44,deal,-911.0
40df5ba0-fa78-4dc0-88bf-31ffa0e52892,1d83b8e7ae451255926b007a5581c586,ba7124fb3f2cf6cbe84208b536beb61a,29,40df5ba0-fa78-4dc0-88bf-31ffa0e52892,fcdbe47f-44a7-40fc-9389-0b973a529245,2015-10-30 19:33:30,deal,-546.0
309a4085-ea85-454b-91c2-49bdbace5266,560912dc86c0017e1438f7f9b1d1769a,a115e2a7e9cf315f7c07f168cb7f0955,30,309a4085-ea85-454b-91c2-49bdbace5266,0ee4dc12-2ff3-48ab-8291-872869f3ca41,2015-10-31 16:06:33,commision,-730.0
c594981a-3959-459d-b409-07ce24921556,4ea3102cb0c130d23207acdea6adcf64,20f2989da643992d33c65028cc4ba788,31,c594981a-3959-459d-b409-07ce24921556,fcdbe47f-44a7-40fc-9389-0b973a529245,2015-12-16 14:31:28,deal,-567.0
a95828b0-53a5-433e-b606-6d3cc7a6bb5c,26487861ce700c8c799b2bb46f16d743,09ecc40cc59f93093c3f0dd863295abc,32,a95828b0-53a5-433e-b606-6d3cc7a6bb5c,c26ca746-9ab4-493d-ad7f-5f952ebe569a,2015-05-15 23:04:18,commision,951.0
737c5d62-697b-4881-a782-2d9cf73a0464,f95c1025ec178a1ba4f6a6228c305451,bd36633413c599e3c2d1baa093854c36,33,737c5d62-697b-4881-a782-2d9cf73a0464,c26ca746-9ab4-493d-ad7f-5f952ebe569a,2015-05-15 19:32:12,deal,-99.0
92f08f04-50b1-4031-8e82-2c6ac319c891,4599b521dc1e9a82936c22183d29d185,ee98f37ac6f40534c2dfbc33b2d8b08b,34,92f08f04-50b1-4031-8e82-2c6ac319c891,186ef4a6-bdb6-4662-aeeb-ecb815d251dc,2015-04-25 14:22:56,commision,310.0
10a30e39-e785-41d2-9cd1-ba7f95fe69e8,763a47464aa0ddf633244884a2711e6d,7b11f023d79e9d5840118b4041ff188b,35,10a30e39-e785-41d2-9cd1-ba7f95fe69e8,12f91c28-23e4-496d-a773-e71cf8a8d8d3,2015-04-30 17:19:04,deal,125.0
d58569e9-43ef-4e5c-893c-f11b1c8a90e9,c8d7780d809ddd9e0386308176224fef,52b14b32345ade1c6f6f26ff582a9788,36,d58569e9-43ef-4e5c-893c-f11b1c8a90e9,a2c0a886-d116-495a-9a17-f1dd1a423190,2015-03-04 15:30:55,deal,-13.0
9e1b32aa-c175-46c3-851a-6f18bd4f56a5,f2de782efcdf74f17777012bff416bc7,a66b95e49ff37e4e47394d6ea511654e,37,9e1b32aa-c175-46c3-851a-6f18bd4f56a5,d481f7dd-8923-44d5-bc2e-e518435389d2,2015-01-31 14:39:40,deal,596.0
3b302de6-7210-4cb8-800b-49cc97b71aaf,ffac7a96c2d33b6e7ec22e22123a1dcf,e5a759392dff9fc9d5586d3379ef2e24,38,3b302de6-7210-4cb8-800b-49cc97b71aaf,b16dc7f4-381b-4b7d-8917-dc9f28f80034,2015-04-09 23:59:27,commision,969.0
036b4b1e-9371-46dc-bf5b-0e704a92e6dc,56ecf6958d658c199ab6301854c5b144,3475db21c42ade7254b4747fb43e816d,39,036b4b1e-9371-46dc-bf5b-0e704a92e6dc,fcdbe47f-44a7-40fc-9389-0b973a529245,2015-10-30 03:26:46,deal,574.0
c03ed4fa-2512-4e01-8fee-24ed94567fc5,0ac90ea807a39cb2c0918ec96c867483,5eb40f4623b176f6d5fc4c47945352aa,40,c03ed4fa-2512-4e01-8fee-24ed94567fc5,b8327f38-160d-4004-8f74-be8da19aaa15,2015-04-07 22:34:02,commision,-291.0
bca0fc00-8ed4-48d9-a5d6-f05b5e20818c,04367404684c14688b73ef340ed1fd0b,180eb74d45c6be98709199e4e7482ff9,41,bca0fc00-8ed4-48d9-a5d6-f05b5e20818c,d481f7dd-8923-44d5-bc2e-e518435389d2,2015-10-29 04:04:55,commision,3.0
f8b54fe1-cfec-4b12-a0b0-1922885430ae,10c053b5bbc08e85b82ea7a1859afd07,21bad2903765649b12f27fe178172caa,42,f8b54fe1-cfec-4b12-a0b0-1922885430ae,38a64f25-3221-4661-944e-86bf6584438d,2015-03-08 05:20:23,deal,270.0
fdb91c40-8872-4bcc-a449-30d4528cf2c9,fb0539b603f871853c5afa9eb3247e86,9eda5e9d86b653e3ce06afbc0c6ae2a1,43,fdb91c40-8872-4bcc-a449-30d4528cf2c9,b8327f38-160d-4004-8f74-be8da19aaa15,2015-06-25 00:16:05,commision,112.0
a5acfb8f-007e-425f-a20f-506bafe4c04b,1ad1a5f4dc5d7f1b35ca190812b3c581,d689903557b4f4b6c6a7146d5408745b,44,a5acfb8f-007e-425f-a20f-506bafe4c04b,c26ca746-9ab4-493d-ad7f-5f952ebe569a,2015-02-20 07:22:18,deal,-387.0
4d283be5-cc1b-4fd1-a832-c74ed3428223,667e9a9381d661d85924540ac87423c1,451fab0546811977c697d8a052d8b24c,45,4d283be5-cc1b-4fd1-a832-c74ed3428223,38a64f25-3221-4661-944e-86bf6584438d,2015-08-24 06:59:01,commision,638.0
ddcce48e-fa92-4e3d-8df8-943d6a067a36,e2d1b2a09af2359f2f7ad265c090d6fb,2daf2f67cc3c9e6235f1c238b53dc008,46,ddcce48e-fa92-4e3d-8df8-943d6a067a36,fcdbe47f-44a7-40fc-9389-0b973a529245,2015-02-02 17:42:55,commision,-782.0
826a575f-711f-4a3d-a173-bd38eabcc3bf,6a033b429e1842fcd6ee53a8c73c5f40,6e32bfc0f36335f765baa2abc6ace5c9,47,826a575f-711f-4a3d-a173-bd38eabcc3bf,b8327f38-160d-4004-8f74-be8da19aaa15,2015-05-31 12:03:27,deal,-819.0
23b5c726-3d88-4ed0-8ea6-d176322cbc7b,ef5fd779b7ba4518d6486870fdf4b09c,ce21309ce8a5a31529534e6a8cf0a3d8,48,23b5c726-3d88-4ed0-8ea6-d176322cbc7b,12f91c28-23e4-496d-a773-e71cf8a8d8d3,2015-12-21 04:10:31,deal,-392.0
1a503c3e-8279-4330-af17-181249e5c91e,c7081b0ebd81ccb6bfc0f0dfdf23c4c8,404c0dbc65e4047a80e57ee7b463d20b,49,1a503c3e-8279-4330-af17-181249e5c91e,24bb05f1-4751-4a0c-8a3f-861f9294b834,2015-08-20 23:19:46,deal,-387.0
f6936c1e-0489-4656-8b7d-90fceb07750d,5bf87f55325c7477f037ea296d8e2f97,249e9b38ccda7c5d2a9f761a5f9acf4a,50,f6936c1e-0489-4656-8b7d-90fceb07750d,b16dc7f4-381b-4b7d-8917-dc9f28f80034,2015-08-28 03:32:30,commision,-918.0
bd8e765c-a769-4136-92ca-ba7f633ed4ba,95b79c2e08a07cced2b8c5fe5f6d2469,34ad7941f91d7e30f7126b74fb1bdc5c,51,bd8e765c-a769-4136-92ca-ba7f633ed4ba,24bb05f1-4751-4a0c-8a3f-861f9294b834,2015-07-09 03:59:05,commision,742.0
822e37c7-b7e8-4e03-a6d4-03ee29e1df69,b5a96776c780ba99d9e3adcb784424b1,f97ea50c3a4baadf63e8b11dcbc5bcde,52,822e37c7-b7e8-4e03-a6d4-03ee29e1df69,b16dc7f4-381b-4b7d-8917-dc9f28f80034,2015-09-04 23:17:15,deal,-843.0
bcf7d148-9ca2-4b2e-8c2d-da807578cc86,27ea0e04afb8fe7418248494b1889c9e,06cd62535a1dd2eab2a388e4d3867337,53,bcf7d148-9ca2-4b2e-8c2d-da807578cc86,a2c0a886-d116-495a-9a17-f1dd1a423190,2015-10-21 00:00:30,commision,-653.0
4cde4718-d719-4509-97da-9d21d4ffebe1,85ae16cf30999ac67dd0f4d4c4787447,875b447b8487c173e02f1da7f80ce904,54,4cde4718-d719-4509-97da-9d21d4ffebe1,b8327f38-160d-4004-8f74-be8da19aaa15,2015-11-04 09:07:57,deal,-843.0
6748bcd1-b502-4013-ba05-b932e380d758,5d5903ca9ac0d34530e1c3c74ac20535,4c9cbdcb3f8f2e15458da8593e9c4501,55,6748bcd1-b502-4013-ba05-b932e380d758,b16dc7f4-381b-4b7d-8917-dc9f28f80034,2015-09-23 08:29:47,deal,-542.0
5bd4400c-2d9a-468d-8d05-5a179be6267d,c93d3b18131d3095d613a4ec41977e7f,dfb61c30a68a17e86c09fdd49e0734ca,56,5bd4400c-2d9a-468d-8d05-5a179be6267d,24bb05f1-4751-4a0c-8a3f-861f9294b834,2015-05-29 17:12:50,commision,-201.0
a58a04cc-b9aa-4896-a397-a994f7300b42,0b1a7cdac03e020f3280fe3ef42e84d0,e048ae3ce1c695c3daabf2664d359fd4,57,a58a04cc-b9aa-4896-a397-a994f7300b42,0ee4dc12-2ff3-48ab-8291-872869f3ca41,2015-11-02 18:48:37,commision,-607.0
e009438d-25eb-43a9-8b4f-2b18d5ab3be8,f0e62fe9fbdc389717518d24fe9f8503,8da9e40f230f53419d7ead6f3def8ebd,59,e009438d-25eb-43a9-8b4f-2b18d5ab3be8,186ef4a6-bdb6-4662-aeeb-ecb815d251dc,2015-02-14 11:38:28,deal,-334.0
